Validation_Set,Topics,Alpha,Beta,Coherence
30% Corpus,6,symmetric,0.31,0.5490800909552358
30% Corpus,6,symmetric,0.61,0.5821307117028568
30% Corpus,6,symmetric,0.9099999999999999,0.44737453617205475
30% Corpus,6,symmetric,symmetric,0.524093859543049
30% Corpus,6,asymmetric,0.01,0.5120370140731269
30% Corpus,6,asymmetric,0.31,0.4984223848067904
30% Corpus,6,asymmetric,0.61,0.4859159068279572
30% Corpus,6,asymmetric,0.9099999999999999,0.42536517682058417
30% Corpus,6,asymmetric,symmetric,0.5261253956431607
30% Corpus,7,0.01,0.01,0.5057508701702675
30% Corpus,7,0.01,0.31,0.5114932471438334
30% Corpus,7,0.01,0.61,0.5211545461462748
30% Corpus,7,0.01,0.9099999999999999,0.5987269062714573
30% Corpus,7,0.01,symmetric,0.5254302280765262
30% Corpus,7,0.31,0.01,0.5006152634575689
30% Corpus,7,0.31,0.31,0.5539142427002622
30% Corpus,7,0.31,0.61,0.6099384675139609
30% Corpus,7,0.31,0.9099999999999999,0.5935820213802047
30% Corpus,7,0.31,symmetric,0.5229932063965
30% Corpus,7,0.61,0.01,0.5112583926474018
30% Corpus,7,0.61,0.31,0.5266681105726333
30% Corpus,7,0.61,0.61,0.5915333685057986
30% Corpus,7,0.61,0.9099999999999999,0.4919189027216419
30% Corpus,7,0.61,symmetric,0.5101958189169473
30% Corpus,7,0.9099999999999999,0.01,0.513014820621548
30% Corpus,7,0.9099999999999999,0.31,0.5212274673859673
30% Corpus,7,0.9099999999999999,0.61,0.5224427939720119
30% Corpus,7,0.9099999999999999,0.9099999999999999,0.5631192745879627
30% Corpus,7,0.9099999999999999,symmetric,0.5094004866103002
30% Corpus,7,symmetric,0.01,0.4974062910221288
30% Corpus,7,symmetric,0.31,0.510131810395588
30% Corpus,7,symmetric,0.61,0.6371747894174077
30% Corpus,7,symmetric,0.9099999999999999,0.58305281373602
30% Corpus,7,symmetric,symmetric,0.5212846921749821
30% Corpus,7,asymmetric,0.01,0.5107776719407439
30% Corpus,7,asymmetric,0.31,0.5550800386247311
30% Corpus,7,asymmetric,0.61,0.5127638148885564
30% Corpus,7,asymmetric,0.9099999999999999,0.4146859358743293
30% Corpus,7,asymmetric,symmetric,0.5416770950479288
30% Corpus,8,0.01,0.01,0.4997292915100359
30% Corpus,8,0.01,0.31,0.5025792887890776
30% Corpus,8,0.01,0.61,0.4323641734316426
30% Corpus,8,0.01,0.9099999999999999,0.5693010918750687
30% Corpus,8,0.01,symmetric,0.5284771462034265
30% Corpus,8,0.31,0.01,0.5041236836795894
30% Corpus,8,0.31,0.31,0.563807018229996
30% Corpus,8,0.31,0.61,0.5744419009684335
30% Corpus,8,0.31,0.9099999999999999,0.424365523305968
30% Corpus,8,0.31,symmetric,0.520393958700163
30% Corpus,8,0.61,0.01,0.5170698388536223
30% Corpus,8,0.61,0.31,0.5223870453071491
30% Corpus,8,0.61,0.61,0.6037898586733013
30% Corpus,8,0.61,0.9099999999999999,0.5666533457883758
30% Corpus,8,0.61,symmetric,0.5118080319932716
30% Corpus,8,0.9099999999999999,0.01,0.49029371440096203
30% Corpus,8,0.9099999999999999,0.31,0.5085171296360647
30% Corpus,8,0.9099999999999999,0.61,0.5028505859468075
30% Corpus,8,0.9099999999999999,0.9099999999999999,0.40577920103203124
30% Corpus,8,0.9099999999999999,symmetric,0.4960188324608439
30% Corpus,8,symmetric,0.01,0.5057841963501509
30% Corpus,8,symmetric,0.31,0.5244460455810606
30% Corpus,8,symmetric,0.61,0.4642208150494347
30% Corpus,8,symmetric,0.9099999999999999,0.593300145559152
30% Corpus,8,symmetric,symmetric,0.5332103475117747
30% Corpus,8,asymmetric,0.01,0.5020890690816473
30% Corpus,8,asymmetric,0.31,0.5696086621967688
30% Corpus,8,asymmetric,0.61,0.4076243782176832
30% Corpus,8,asymmetric,0.9099999999999999,0.5048968026563323
30% Corpus,8,asymmetric,symmetric,0.5431851153305935
30% Corpus,9,0.01,0.01,0.49163615963422036
30% Corpus,9,0.01,0.31,0.49607476084140983
30% Corpus,9,0.01,0.61,0.44270243209484605
30% Corpus,9,0.01,0.9099999999999999,0.46695052458738334
30% Corpus,9,0.01,symmetric,0.48365692688344225
30% Corpus,9,0.31,0.01,0.5120994930761804
30% Corpus,9,0.31,0.31,0.5257782658675415
30% Corpus,9,0.31,0.61,0.4703711060389485
30% Corpus,9,0.31,0.9099999999999999,0.5175648373150274
30% Corpus,9,0.31,symmetric,0.5195606243160514
30% Corpus,9,0.61,0.01,0.5179563103732683
30% Corpus,9,0.61,0.31,0.5298351626509514
30% Corpus,9,0.61,0.61,0.5249650361910635
30% Corpus,9,0.61,0.9099999999999999,0.553890762848221
30% Corpus,9,0.61,symmetric,0.5170988465221527
30% Corpus,9,0.9099999999999999,0.01,0.5000383288970087
30% Corpus,9,0.9099999999999999,0.31,0.5055867724964005
30% Corpus,9,0.9099999999999999,0.61,0.458638267658773
30% Corpus,9,0.9099999999999999,0.9099999999999999,0.41527221693866756
30% Corpus,9,0.9099999999999999,symmetric,0.4964168203376062
30% Corpus,9,symmetric,0.01,0.5041433816193737
30% Corpus,9,symmetric,0.31,0.53359965231424
30% Corpus,9,symmetric,0.61,0.5397535341100664
30% Corpus,9,symmetric,0.9099999999999999,0.5340026496657595
30% Corpus,9,symmetric,symmetric,0.4739723393776905
30% Corpus,9,asymmetric,0.01,0.4956291709857481
30% Corpus,9,asymmetric,0.31,0.5640121296277844
30% Corpus,9,asymmetric,0.61,0.4148426049852609
30% Corpus,9,asymmetric,0.9099999999999999,0.37264985727498817
30% Corpus,9,asymmetric,symmetric,0.5256439164322384
30% Corpus,10,0.01,0.01,0.49913696348264436
30% Corpus,10,0.01,0.31,0.5247185126766498
30% Corpus,10,0.01,0.61,0.4156302075300549
30% Corpus,10,0.01,0.9099999999999999,0.3880339112289416
30% Corpus,10,0.01,symmetric,0.4944647237928786
30% Corpus,10,0.31,0.01,0.5231556521522587
30% Corpus,10,0.31,0.31,0.5460010582975425
30% Corpus,10,0.31,0.61,0.4685945925205483
30% Corpus,10,0.31,0.9099999999999999,0.4277199474731742
30% Corpus,10,0.31,symmetric,0.5000875655200626
30% Corpus,10,0.61,0.01,0.5237391898700263
30% Corpus,10,0.61,0.31,0.5187703137949814
30% Corpus,10,0.61,0.61,0.4513473576159625
30% Corpus,10,0.61,0.9099999999999999,0.4403544914670928
30% Corpus,10,0.61,symmetric,0.5256185256576066
30% Corpus,10,0.9099999999999999,0.01,0.4857178253999691
30% Corpus,10,0.9099999999999999,0.31,0.4915068786169313
30% Corpus,10,0.9099999999999999,0.61,0.43717599964676274
30% Corpus,10,0.9099999999999999,0.9099999999999999,0.4099793544810656
30% Corpus,10,0.9099999999999999,symmetric,0.4962155308898522
30% Corpus,10,symmetric,0.01,0.5082760950929339
30% Corpus,10,symmetric,0.31,0.5264539333747366
30% Corpus,10,symmetric,0.61,0.4065595011989657
30% Corpus,10,symmetric,0.9099999999999999,0.3954193416228521
30% Corpus,10,symmetric,symmetric,0.4927584089222809
30% Corpus,10,asymmetric,0.01,0.49176998263447913
30% Corpus,10,asymmetric,0.31,0.5738578680791184
30% Corpus,10,asymmetric,0.61,0.41728485303221213
30% Corpus,10,asymmetric,0.9099999999999999,0.37742345558709844
30% Corpus,10,asymmetric,symmetric,0.4931882718750419
