Validation_Set,Topics,Alpha,Beta,Coherence,
30% Corpus,5,0.01,symmetric,0.4847219623808668,
30% Corpus,5,0.31,0.01,0.4920112291026303,
30% Corpus,5,0.31,0.31,0.4902286243321103,
30% Corpus,5,0.31,0.61,0.5025902336687814,
30% Corpus,5,0.31,0.9099999999999999,0.48762985624013533,
30% Corpus,5,0.31,symmetric,0.4874795491501495,
30% Corpus,5,0.61,0.01,0.4938233965653094,
30% Corpus,5,0.61,0.31,0.4986687848538849,
30% Corpus,5,0.61,0.61,0.5110958198804327,
30% Corpus,5,0.61,0.9099999999999999,0.4997612751973028,
30% Corpus,5,0.61,symmetric,0.4874862334614839,
30% Corpus,5,0.9099999999999999,0.01,0.48707806930603825,
30% Corpus,5,0.9099999999999999,0.31,0.49436974594907335,
30% Corpus,5,0.9099999999999999,0.61,0.4977321587383156,
30% Corpus,5,0.9099999999999999,0.9099999999999999,0.5151173398898689,
30% Corpus,5,0.9099999999999999,symmetric,0.49313824511234766,
30% Corpus,5,symmetric,0.01,0.4803387372940021,
30% Corpus,5,symmetric,0.31,0.487267092,
30% Corpus,5,symmetric,0.61,0.5091850346373475,
30% Corpus,5,symmetric,0.9099999999999999,0.4156445168584348,
30% Corpus,5,symmetric,symmetric,0.4834682911826566,
30% Corpus,5,asymmetric,0.01,0.4820111502380767,
30% Corpus,5,asymmetric,0.31,0.4724147674651008,
30% Corpus,5,asymmetric,0.61,0.46670149641395203,
30% Corpus,5,asymmetric,0.9099999999999999,0.47243143173895835,
30% Corpus,5,asymmetric,symmetric,0.4732691375238467,
30% Corpus,6,0.01,0.01,0.48816085963543476,
30% Corpus,6,0.01,0.31,0.47961400441096863,
30% Corpus,6,0.01,0.61,0.42965420270829363,
30% Corpus,6,0.01,0.9099999999999999,0.2712865549232842,
30% Corpus,6,0.01,symmetric,0.5030624176930595,
30% Corpus,6,0.31,0.01,0.4971554294954162,
30% Corpus,6,0.31,0.31,0.5065648327222987,
30% Corpus,6,0.31,0.61,0.44202376563557516,
30% Corpus,6,0.31,0.9099999999999999,0.6533245138387346,
30% Corpus,6,0.31,symmetric,0.5105867198120215,
30% Corpus,6,0.61,0.01,0.5036207620774104,
30% Corpus,6,0.61,0.31,0.5168648829079853,
30% Corpus,6,0.61,0.61,0.5158478716036075,
30% Corpus,6,0.61,0.9099999999999999,0.5247510662848943,
30% Corpus,6,0.61,symmetric,0.506993603,
30% Corpus,6,0.9099999999999999,0.01,0.498332268,
30% Corpus,6,0.9099999999999999,0.31,0.5077681509161297,
30% Corpus,6,0.9099999999999999,0.61,0.5255475816247528,
30% Corpus,6,0.9099999999999999,0.9099999999999999,0.5030860424698693,
30% Corpus,6,0.9099999999999999,symmetric,0.4983698124126248,
30% Corpus,6,symmetric,0.01,0.49440214709391483,
30% Corpus,6,symmetric,0.31,0.5115515293281103,
30% Corpus,6,symmetric,0.61,0.543088898,
30% Corpus,6,symmetric,0.9099999999999999,0.5435003105444395,
30% Corpus,6,symmetric,symmetric,0.5127190423894377,
30% Corpus,6,asymmetric,0.01,0.49802074145278613,
30% Corpus,6,asymmetric,0.31,0.5099485179129991,
30% Corpus,6,asymmetric,0.61,0.5150434044588897,
30% Corpus,6,asymmetric,0.9099999999999999,0.4740090701427837,
30% Corpus,6,asymmetric,symmetric,0.5000551809396515,
30% Corpus,7,0.01,0.01,0.4964464962304628,
30% Corpus,7,0.01,0.31,0.5842774089083255,
30% Corpus,7,0.01,0.61,0.5153773438837618,
30% Corpus,7,0.01,0.9099999999999999,0.5293379529436717,
30% Corpus,7,0.01,symmetric,0.498173165,
