Validation_Set,Topics,Alpha,Beta,Coherence
30% Corpus,6,asymmetric,0.31,0.5048349217756385
30% Corpus,6,asymmetric,0.61,0.4726432599211157
30% Corpus,6,asymmetric,0.9099999999999999,0.41044754701023417
30% Corpus,6,asymmetric,symmetric,0.5284286393098765
30% Corpus,7,0.01,0.01,0.5057508701702675
30% Corpus,7,0.01,0.31,0.515673454911228
30% Corpus,7,0.01,0.61,0.6403566499181145
30% Corpus,7,0.01,0.9099999999999999,0.5702526449961262
30% Corpus,7,0.01,symmetric,0.5291369071807815
30% Corpus,7,0.31,0.01,0.5039312901745948
30% Corpus,7,0.31,0.31,0.5594580356811965
30% Corpus,7,0.31,0.61,0.6213016700972902
30% Corpus,7,0.31,0.9099999999999999,0.5969169648020713
30% Corpus,7,0.31,symmetric,0.5235426063090044
30% Corpus,7,0.61,0.01,0.5102254015750616
30% Corpus,7,0.61,0.31,0.5221491032445232
30% Corpus,7,0.61,0.61,0.5965811503349588
30% Corpus,7,0.61,0.9099999999999999,0.6413957120463927
30% Corpus,7,0.61,symmetric,0.5075849264611094
30% Corpus,7,0.9099999999999999,0.01,0.5210498553049705
30% Corpus,7,0.9099999999999999,0.31,0.5227857330992096
30% Corpus,7,0.9099999999999999,0.61,0.535674100863465
30% Corpus,7,0.9099999999999999,0.9099999999999999,0.5750434831728003
30% Corpus,7,0.9099999999999999,symmetric,0.5130466004890325
30% Corpus,7,symmetric,0.01,0.5039064824713027
30% Corpus,7,symmetric,0.31,0.5032006842935133
30% Corpus,7,symmetric,0.61,0.6288022082188742
30% Corpus,7,symmetric,0.9099999999999999,0.5913790388986543
30% Corpus,7,symmetric,symmetric,0.5211096879912972
30% Corpus,7,asymmetric,0.01,0.5109577232624142
30% Corpus,7,asymmetric,0.31,0.5775280874857183
30% Corpus,7,asymmetric,0.61,0.5180009009973637
30% Corpus,7,asymmetric,0.9099999999999999,0.38445879707888814
30% Corpus,7,asymmetric,symmetric,0.544162448956596
30% Corpus,8,0.01,0.01,0.4995519479990057
30% Corpus,8,0.01,0.31,0.49947930867674695
30% Corpus,8,0.01,0.61,0.46441403645765966
30% Corpus,8,0.01,0.9099999999999999,0.6500131437836518
30% Corpus,8,0.01,symmetric,0.5303770994732799
30% Corpus,8,0.31,0.01,0.5070446773370221
30% Corpus,8,0.31,0.31,0.5771438086100122
30% Corpus,8,0.31,0.61,0.568650532215127
30% Corpus,8,0.31,0.9099999999999999,0.442573522899341
30% Corpus,8,0.31,symmetric,0.5179203424022856
30% Corpus,8,0.61,0.01,0.5120450825722684
30% Corpus,8,0.61,0.31,0.5212747373095096
30% Corpus,8,0.61,0.61,0.6035396229022073
30% Corpus,8,0.61,0.9099999999999999,0.5718445329343405
30% Corpus,8,0.61,symmetric,0.5139082459726629
30% Corpus,8,0.9099999999999999,0.01,0.5024893519468736
30% Corpus,8,0.9099999999999999,0.31,0.508300801881952
30% Corpus,8,0.9099999999999999,0.61,0.5171880245799402
30% Corpus,8,0.9099999999999999,0.9099999999999999,0.40103933195508307
30% Corpus,8,0.9099999999999999,symmetric,0.4994323863992641
30% Corpus,8,symmetric,0.01,0.5035653912679813
30% Corpus,8,symmetric,0.31,0.5649131544998419
30% Corpus,8,symmetric,0.61,0.47832106117130935
30% Corpus,8,symmetric,0.9099999999999999,0.5701801746176839
30% Corpus,8,symmetric,symmetric,0.5336657848907008
30% Corpus,8,asymmetric,0.01,0.5025053248082089
30% Corpus,8,asymmetric,0.31,0.5673692192791919
30% Corpus,8,asymmetric,0.61,0.5386970642358875
30% Corpus,8,asymmetric,0.9099999999999999,0.5308709346291611
30% Corpus,8,asymmetric,symmetric,0.5397330652699576
30% Corpus,9,0.01,0.01,0.5098225841584019
30% Corpus,9,0.01,0.31,0.4931045975255721
30% Corpus,9,0.01,0.61,0.45614301875722885
30% Corpus,9,0.01,0.9099999999999999,0.5679518000665644
30% Corpus,9,0.01,symmetric,0.49270885373421547
30% Corpus,9,0.31,0.01,0.5129185371097881
30% Corpus,9,0.31,0.31,0.5438537820159721
30% Corpus,9,0.31,0.61,0.4870470565651591
30% Corpus,9,0.31,0.9099999999999999,0.5261356878109315
30% Corpus,9,0.31,symmetric,0.5203971886476384
30% Corpus,9,0.61,0.01,0.5165817040199268
30% Corpus,9,0.61,0.31,0.5304224898295179
30% Corpus,9,0.61,0.61,0.5098595109673044
30% Corpus,9,0.61,0.9099999999999999,0.554587968219115
30% Corpus,9,0.61,symmetric,0.5208688035681303
30% Corpus,9,0.9099999999999999,0.01,0.5020304658035115
30% Corpus,9,0.9099999999999999,0.31,0.5196068047113986
30% Corpus,9,0.9099999999999999,0.61,0.44368330227796104
30% Corpus,9,0.9099999999999999,0.9099999999999999,0.392712600007353
30% Corpus,9,0.9099999999999999,symmetric,0.5085495715444975
30% Corpus,9,symmetric,0.01,0.499229778867647
30% Corpus,9,symmetric,0.31,0.5367713280492146
30% Corpus,9,symmetric,0.61,0.5501274012143729
30% Corpus,9,symmetric,0.9099999999999999,0.5660063355261994
30% Corpus,9,symmetric,symmetric,0.49977972431816187
30% Corpus,9,asymmetric,0.01,0.49537772234310357
30% Corpus,9,asymmetric,0.31,0.542542628248003
30% Corpus,9,asymmetric,0.61,0.40145832431345607
30% Corpus,9,asymmetric,0.9099999999999999,0.3454061531116242
30% Corpus,9,asymmetric,symmetric,0.5256857300471727
30% Corpus,10,0.01,0.01,0.49476542826939446
30% Corpus,10,0.01,0.31,0.5403648819815424
30% Corpus,10,0.01,0.61,0.40845295610624766
30% Corpus,10,0.01,0.9099999999999999,0.4002533319827711
30% Corpus,10,0.01,symmetric,0.48945831024739783
30% Corpus,10,0.31,0.01,0.5227614520016676
30% Corpus,10,0.31,0.31,0.5543989270748775
30% Corpus,10,0.31,0.61,0.4619983560480473
30% Corpus,10,0.31,0.9099999999999999,0.45479010397343594
30% Corpus,10,0.31,symmetric,0.5035526448813463
30% Corpus,10,0.61,0.01,0.5247790332474137
30% Corpus,10,0.61,0.31,0.5117362666093719
30% Corpus,10,0.61,0.61,0.42693139502092814
30% Corpus,10,0.61,0.9099999999999999,0.3997516176397794
30% Corpus,10,0.61,symmetric,0.5322427782165102
30% Corpus,10,0.9099999999999999,0.01,0.49845386999363217
30% Corpus,10,0.9099999999999999,0.31,0.5034498157366272
30% Corpus,10,0.9099999999999999,0.61,0.4624668402527899
30% Corpus,10,0.9099999999999999,0.9099999999999999,0.42289420220490587
30% Corpus,10,0.9099999999999999,symmetric,0.49993340881924303
30% Corpus,10,symmetric,0.01,0.5097250465271763
30% Corpus,10,symmetric,0.31,0.529657423466424
30% Corpus,10,symmetric,0.61,0.4411302840193983
30% Corpus,10,symmetric,0.9099999999999999,0.41508455719629167
30% Corpus,10,symmetric,symmetric,0.4935447583522391
30% Corpus,10,asymmetric,0.01,0.4963025331362284
30% Corpus,10,asymmetric,0.31,0.5633700731804461
30% Corpus,10,asymmetric,0.61,0.4160448407256048
30% Corpus,10,asymmetric,0.9099999999999999,0.3997036158225243
30% Corpus,10,asymmetric,symmetric,0.48100868773569083
